phi,x,y
20.050000,0.197541,0.508774
20.100000,0.173469,0.522844
20.150000,0.148675,0.536468
20.200000,0.123114,0.549643
20.250000,0.096738,0.562364
20.300000,0.069493,0.574623
20.350000,0.041323,0.586407
20.400000,0.012166,0.597702
20.450000,-0.018046,0.608490
20.500000,-0.049386,0.618746
20.550000,-0.081936,0.628444
20.600000,-0.115783,0.637549
20.650000,-0.151022,0.646024
20.700000,-0.187760,0.653823
20.750000,-0.226112,0.660892
20.800000,-0.266204,0.667170
20.850000,-0.308175,0.672586
20.900000,-0.352180,0.677057
20.950000,-0.398388,0.680488
21.000000,-0.446985,0.682769
21.050000,-0.498180,0.683772
21.100000,-0.552201,0.683351
21.150000,-0.609306,0.681334
21.200000,-0.669778,0.677525
21.250000,-0.733933,0.671694
21.300000,-0.802127,0.663575
21.350000,-0.874756,0.652857
21.400000,-0.952262,0.639177
21.450000,-1.035143,0.622112
21.500000,-1.123957,0.601165
21.550000,-1.219333,0.575750
21.600000,-1.321974,0.545180
21.650000,-1.432674,0.508642
21.700000,-1.552322,0.465175
21.750000,-1.681914,0.413640
21.800000,-1.822562,0.352686
21.850000,-1.975503,0.280706
21.900000,-2.142099,0.195792
21.950000,-2.323833,0.095676
22.000000,-2.522290,-0.022326
22.050000,-2.739123,-0.161388
22.100000,-2.975974,-0.325225
22.150000,-3.234359,-0.518148
22.200000,-3.515467,-0.745075
22.250000,-3.819859,-1.011468
22.300000,-4.147018,-1.323154
22.350000,-4.494708,-1.685930
22.400000,-4.858121,-2.104860
22.450000,-5.228810,-2.583132
22.500000,-5.593541,-3.120367
22.550000,-5.933350,-3.710424
22.600000,-6.223334,-4.338974
22.650000,-6.433946,-4.981587
22.700000,-6.534484,-5.603539
22.750000,-6.498864,-6.162663
22.800000,-6.312489,-6.615754
22.850000,-5.977716,-6.927343
22.900000,-5.515153,-7.077732
22.950000,-4.959676,-7.066899
23.000000,-4.352694,-6.912745
23.050000,-3.733898,-6.644952
23.100000,-3.135356,-6.297497
23.150000,-2.579062,-5.902480
23.200000,-2.077330,-5.486510
23.250000,-1.634774,-5.069486
23.300000,-1.250703,-4.664970
23.350000,-0.921241,-4.281327
23.400000,-0.640929,-3.923037
23.450000,-0.403781,-3.591878
23.500000,-0.203927,-3.287866
23.550000,-0.035955,-3.009948
23.600000,0.104949,-2.756473
23.650000,0.222961,-2.525513
23.700000,0.321652,-2.315063
23.750000,0.404045,-2.123157
23.800000,0.472680,-1.947942
23.850000,0.529690,-1.787705
23.900000,0.576855,-1.640891
23.950000,0.615668,-1.506100
24.000000,0.647377,-1.382082
24.050000,0.673025,-1.267724
24.100000,0.693491,-1.162036
24.150000,0.709510,-1.064144
24.200000,0.721705,-0.973271
24.250000,0.730599,-0.888730
24.300000,0.736637,-0.809910
24.350000,0.740193,-0.736270
24.400000,0.741588,-0.667330
24.450000,0.741094,-0.602661
24.500000,0.738942,-0.541883
24.550000,0.735332,-0.484653
24.600000,0.730433,-0.430667
24.650000,0.724391,-0.379653
24.700000,0.717329,-0.331365
24.750000,0.709355,-0.285583
24.800000,0.700561,-0.242107
24.850000,0.691026,-0.200760
24.900000,0.680816,-0.161378
24.950000,0.669990,-0.123816
25.000000,0.658597,-0.087940
