t,x,y,z,w
27.900000,-7.130140,-39.340755,-5.967536,-6.960382
28.050000,-8.023201,-40.373755,-5.939522,-6.813023
28.200000,-8.911876,-41.384686,-5.909095,-6.666143
28.350000,-9.795816,-42.373622,-5.876396,-6.519752
28.500000,-10.674688,-43.340636,-5.841550,-6.373857
28.650000,-11.548179,-44.285804,-5.804674,-6.228461
28.800000,-12.415994,-45.209200,-5.765873,-6.083568
28.950000,-13.277850,-46.110899,-5.725244,-5.939176
29.100000,-14.133480,-46.990978,-5.682877,-5.795284
29.250000,-14.982630,-47.849510,-5.638852,-5.651891
29.400000,-15.825057,-48.686570,-5.593246,-5.508993
29.550000,-16.660528,-49.502232,-5.546128,-5.366586
29.700000,-17.488823,-50.296570,-5.497563,-5.224666
29.850000,-18.309728,-51.069656,-5.447610,-5.083229
30.000000,-19.123040,-51.821563,-5.396325,-4.942269
30.150000,-19.928562,-52.552361,-5.343759,-4.801782
30.300000,-20.726106,-53.262121,-5.289960,-4.661762
30.450000,-21.515490,-53.950912,-5.234972,-4.522205
30.600000,-22.296540,-54.618805,-5.178837,-4.383105
30.750000,-23.069086,-55.265867,-5.121594,-4.244458
30.900000,-23.832965,-55.892165,-5.063280,-4.106258
31.050000,-24.588018,-56.497766,-5.003927,-3.968500
31.200000,-25.334092,-57.082737,-4.943568,-3.831180
31.350000,-26.071039,-57.647142,-4.882233,-3.694294
31.500000,-26.798715,-58.191046,-4.819950,-3.557836
31.650000,-27.516978,-58.714514,-4.756744,-3.421803
31.800000,-28.225693,-59.217608,-4.692642,-3.286190
31.950000,-28.924727,-59.700392,-4.627666,-3.150994
32.100000,-29.613951,-60.162927,-4.561838,-3.016210
32.250000,-30.293237,-60.605275,-4.495179,-2.881836
32.400000,-30.962464,-61.027498,-4.427708,-2.747867
32.550000,-31.621510,-61.429656,-4.359444,-2.614301
32.700000,-32.270258,-61.811808,-4.290404,-2.481134
32.850000,-32.908593,-62.174016,-4.220605,-2.348364
33.000000,-33.536402,-62.516337,-4.150062,-2.215987
33.150000,-34.153575,-62.838831,-4.078789,-2.084002
33.300000,-34.760003,-63.141557,-4.006801,-1.952405
33.450000,-35.355580,-63.424572,-3.934110,-1.821195
33.600000,-35.940202,-63.687935,-3.860729,-1.690370
33.750000,-36.513765,-63.931702,-3.786670,-1.559928
33.900000,-37.076170,-64.155932,-3.711944,-1.429866
34.050000,-37.627316,-64.360681,-3.636561,-1.300185
34.200000,-38.167106,-64.546006,-3.560531,-1.170881
34.350000,-38.695443,-64.711964,-3.483863,-1.041955
34.500000,-39.212233,-64.858612,-3.406566,-0.913405
34.650000,-39.717382,-64.986005,-3.328649,-0.785229
34.800000,-40.210797,-65.094199,-3.250119,-0.657429
34.950000,-40.692387,-65.183252,-3.170984,-0.530002
35.100000,-41.162062,-65.253219,-3.091250,-0.402949
35.250000,-41.619733,-65.304155,-3.010924,-0.276269
35.400000,-42.065310,-65.336118,-2.930013,-0.149963
35.550000,-42.498708,-65.349163,-2.848522,-0.024030
35.700000,-42.919838,-65.343346,-2.766456,0.101529
35.850000,-43.328616,-65.318723,-2.683820,0.226714
36.000000,-43.724956,-65.275350,-2.600619,0.351525
36.150000,-44.108774,-65.213284,-2.516858,0.475959
36.300000,-44.479985,-65.132581,-2.432540,0.600018
36.450000,-44.838508,-65.033298,-2.347669,0.723698
36.600000,-45.184259,-64.915491,-2.262248,0.847000
36.750000,-45.517155,-64.779217,-2.176281,0.969921
36.900000,-45.837116,-64.624533,-2.089771,1.092460
37.050000,-46.144059,-64.451498,-2.002719,1.214615
37.200000,-46.437905,-64.260168,-1.915128,1.336385
37.350000,-46.718571,-64.050602,-1.826999,1.457766
37.500000,-46.985978,-63.822858,-1.738336,1.578757
37.650000,-47.240045,-63.576995,-1.649138,1.699354
37.800000,-47.480692,-63.313071,-1.559407,1.819555
37.950000,-47.707840,-63.031148,-1.469145,1.939358
38.100000,-47.921409,-62.731284,-1.378351,2.058758
38.250000,-48.121319,-62.413541,-1.287025,2.177752
38.400000,-48.307490,-62.077979,-1.195169,2.296337
38.550000,-48.479843,-61.724660,-1.102781,2.414508
38.700000,-48.638298,-61.353647,-1.009861,2.532262
38.850000,-48.782775,-60.965003,-0.916409,2.649593
39.000000,-48.913194,-60.558791,-0.822424,2.766498
39.150000,-49.029475,-60.135075,-0.727903,2.882970
39.300000,-49.131538,-59.693922,-0.632847,2.999006
39.450000,-49.219302,-59.235396,-0.537252,3.114598
39.600000,-49.292687,-58.759565,-0.441117,3.229742
39.750000,-49.351610,-58.266496,-0.344440,3.344430
39.900000,-49.395991,-57.756259,-0.247217,3.458657
40.050000,-49.425748,-57.228922,-0.149447,3.572415
40.200000,-49.440798,-56.684558,-0.051125,3.685697
40.350000,-49.441058,-56.123238,0.047752,3.798494
40.500000,-49.426444,-55.545034,0.147188,3.910800
40.650000,-49.396873,-54.950023,0.247186,4.022604
40.800000,-49.352260,-54.338278,0.347752,4.133899
40.950000,-49.292519,-53.709879,0.448890,4.244674
41.100000,-49.217564,-53.064903,0.550606,4.354918
41.250000,-49.127308,-52.403431,0.652904,4.464622
41.400000,-49.021663,-51.725544,0.755792,4.573774
41.550000,-48.900541,-51.031327,0.859275,4.682361
41.700000,-48.763851,-50.320864,0.963360,4.790372
41.850000,-48.611502,-49.594245,1.068054,4.897791
42.000000,-48.443404,-48.851557,1.173365,5.004607
42.150000,-48.259462,-48.092894,1.279301,5.110802
42.300000,-48.059582,-47.318348,1.385871,5.216362
42.450000,-47.843668,-46.528018,1.493083,5.321269
42.600000,-47.611624,-45.722001,1.600947,5.425506
42.750000,-47.363351,-44.900400,1.709473,5.529053
42.900000,-47.098749,-44.063321,1.818673,5.631890
43.050000,-46.817715,-43.210870,1.928556,5.733995
43.200000,-46.520147,-42.343160,2.039135,5.835347
43.350000,-46.205939,-41.460305,2.150423,5.935920
43.500000,-45.874984,-40.562424,2.262433,6.035688
43.650000,-45.527172,-39.649640,2.375179,6.134624
43.800000,-45.162393,-38.722080,2.488675,6.232698
43.950000,-44.780532,-37.779876,2.602937,6.329878
44.100000,-44.381472,-36.823163,2.717983,6.426130
44.250000,-43.965097,-35.852085,2.833828,6.521418
44.400000,-43.531283,-34.866788,2.950490,6.615703
44.550000,-43.079908,-33.867426,3.067991,6.708942
44.700000,-42.610843,-32.854160,3.186348,6.801090
44.850000,-42.123959,-31.827156,3.305584,6.892099
45.000000,-41.619123,-30.786590,3.425722,6.981914
45.150000,-41.096197,-29.732644,3.546783,7.070480
45.300000,-40.555040,-28.665512,3.668794,7.157734
45.450000,-39.995510,-27.585393,3.791780,7.243607
45.600000,-39.417456,-26.492502,3.915767,7.328028
45.750000,-38.820728,-25.387062,4.040785,7.410915
45.900000,-38.205168,-24.269309,4.166862,7.492181
46.050000,-37.570615,-23.139493,4.294030,7.571729
46.200000,-36.916903,-21.997881,4.422320,7.649455
46.350000,-36.243861,-20.844754,4.551765,7.725242
46.500000,-35.551314,-19.680412,4.682397,7.798962
46.650000,-34.839081,-18.505175,4.814251,7.870474
46.800000,-34.106976,-17.319388,4.947361,7.939620
46.950000,-33.354808,-16.123416,5.081760,8.006225
47.100000,-32.582382,-14.917657,5.217479,8.070096
47.250000,-31.789497,-13.702535,5.354548,8.131015
47.400000,-30.975949,-12.478512,5.492992,8.188739
47.550000,-30.141530,-11.246087,5.632831,8.242995
47.700000,-29.286029,-10.005802,5.774077,8.293477
47.850000,-28.409237,-8.758250,5.916726,8.339838
48.000000,-27.510942,-7.504076,6.060762,8.381691
48.150000,-26.590941,-6.243989,6.206143,8.418596
48.300000,-25.649035,-4.978769,6.352796,8.450060
48.450000,-24.685044,-3.709271,6.500607,8.475527
48.600000,-23.698804,-2.436442,6.649404,8.494376
48.750000,-22.690185,-1.161324,6.798943,8.505918
48.900000,-21.659101,0.114931,6.948883,8.509393
49.050000,-20.605523,1.391050,7.098761,8.503985
49.200000,-19.529506,2.665639,7.247964,8.488830
49.350000,-18.431207,3.937168,7.395697,8.463053
49.500000,-17.310920,5.203981,7.540959,8.425816
49.650000,-16.169104,6.464303,7.682529,8.376386
49.800000,-15.006417,7.716260,7.818982,8.314226
49.950000,-13.823744,8.957921,7.948734,8.239090
50.100000,-12.622214,10.187344,8.070140,8.151110
50.250000,-11.403199,11.402640,8.181617,8.050852
50.400000,-10.168294,12.602035,8.281795,7.939303
50.550000,-8.919277,13.783933,8.369644,7.817805
50.700000,-7.658048,14.946957,8.444558,7.687925
