A,B,x
-29,16,0.5461080018501308
-29,17,0.5794964063971174
-29,18,0.6127561512439026
-29,19,0.6458814567831445
-29,20,0.6788668051623338
-29,21,0.7117069440499415
-29,22,0.7443968892055408
-29,23,0.7769319259007538
-29,24,0.8093076092448693
-29,25,0.8415197634748324
-29,26,0.8735644802740331
-29,27,0.9054381161879506
-29,28,0.9371372892072664
-29,29,0.9686588745906426
-28,-30,-1.032156920803382
-28,-29,-1.0
-28,-28,-0.9676417000756695
-28,-27,-0.9350848914990271
-28,-26,-0.9023327405446653
-28,-25,-0.8693887166453587
-28,-24,-0.836256598960284
-28,-23,-0.8029404820565499
-28,-22,-0.7694447806005881
-28,-21,-0.735774232956475
-28,-20,-0.7019339035901843
-28,-19,-0.6679291841822471
-28,-18,-0.6337657933564211
-28,-17,-0.5994497749388193
-28,-16,-0.5649874946705815
-28,-15,-0.5303856353075979
-28,-14,-0.49565119005298797
-28,-13,-0.4607914542819366
-28,-12,-0.4258140155339645
-28,-11,-0.3907267417646168
-28,-10,-0.3555377678666567
-28,-9,-0.3202554804899056
-28,-8,-0.284888501208573
-28,-7,-0.2494456681049206
-28,-6,-0.21393601585804387
-28,-5,-0.1783687544460363
-28,-4,-0.14275324658842625
-28,-3,-0.10709898407314147
-28,-2,-0.07141556312798225
-28,-1,-0.03571265901030318
-28,0,0.0
-28,1,0.03571265901030318
-28,2,0.07141556312798225
-28,3,0.10709898407314147
-28,4,0.14275324658842625
-28,5,0.1783687544460363
-28,6,0.21393601585804387
-28,7,0.2494456681049206
-28,8,0.284888501208573
-28,9,0.3202554804899056
-28,10,0.3555377678666567
-28,11,0.3907267417646168
-28,12,0.4258140155339645
-28,13,0.4607914542819366
-28,14,0.49565119005298797
-28,15,0.5303856353075979
-28,16,0.5649874946705815
-28,17,0.5994497749388193
-28,18,0.6337657933564211
-28,19,0.6679291841822471
-28,20,0.7019339035901843
-28,21,0.735774232956475
-28,22,0.7694447806005881
-28,23,0.8029404820565499
-28,24,0.836256598960284
-28,25,0.8693887166453587
-28,26,0.9023327405446653
-28,27,0.9350848914990271
-28,28,0.9676417000756695
-28,29,1.0
-27,-30,-1.0662184990119143
-27,-29,-1.0332217427040993
-27,-28,-1.0
-27,-27,-0.9665560638782568
-27,-26,-0.9328930728760959
-27,-25,-0.8990145218758343
-27,-24,-0.864924272029654
-27,-23,-0.8306265596795377
-27,-22,-0.7961260041256792
-27,-21,-0.7614276140948127
-27,-20,-0.7265367927600004
-27,-19,-0.6914593411657199
-27,-18,-0.6562014599168182
-27,-17,-0.6207697489972284
-27,-16,-0.58517120559444
-27,-15,-0.5494132198186479
-27,-14,-0.5135035682213153
-27,-13,-0.4774504050365397
-27,-12,-0.44126225108996725
-27,-11,-0.4049479803438735
-27,-10,-0.3685168040731161
-27,-9,-0.33197825269459
-27,-8,-0.29534215530212116
-27,-7,-0.2586186169888814
-27,-6,-0.22181799406980734
-27,-5,-0.18495086734650137
-27,-4,-0.14802801358602885
-27,-3,-0.1110603754122063
-27,-2,-0.07405902983274586
-27,-1,-0.03703515564735281
-27,0,0.0
-27,1,0.03703515564735281
-27,2,0.07405902983274586
-27,3,0.1110603754122063
-27,4,0.14802801358602885
-27,5,0.18495086734650137
-27,6,0.22181799406980734
-27,7,0.2586186169888814
-27,8,0.29534215530212116
-27,9,0.33197825269459
-27,10,0.3685168040731161
-27,11,0.4049479803438735
-27,12,0.44126225108996725
-27,13,0.4774504050365397
-27,14,0.5135035682213153
-27,15,0.5494132198186479
-27,16,0.58517120559444
-27,17,0.6207697489972284
-27,18,0.6562014599168182
-27,19,0.6914593411657199
-27,20,0.7265367927600004
