t,x,y,z,w
65.100000,0.687962,-3.657043,1.943935,1.739138
65.250000,-0.819214,-5.077254,1.274108,1.720990
65.400000,-1.681073,-5.557740,0.467533,1.525454
65.550000,-2.098643,-5.581414,-0.371204,1.238386
65.700000,-2.391944,-5.358995,-1.195381,0.901406
65.850000,-2.712633,-4.610689,-1.952651,0.518646
66.000000,-2.942726,-2.813854,-2.524057,0.091513
66.150000,-2.797842,0.051794,-2.738938,-0.345082
66.300000,-2.202339,2.992997,-2.501613,-0.724138
66.450000,-1.462412,4.917508,-1.891523,-0.997917
66.600000,-0.895406,5.721651,-1.082103,-1.171431
66.750000,-0.529634,5.924088,-0.204155,-1.276512
66.900000,-0.169473,5.851786,0.682384,-1.330343
67.050000,0.441630,5.320904,1.528831,-1.314119
67.200000,1.424127,3.813187,2.228212,-1.177811
67.350000,2.533686,1.184206,2.612619,-0.878919
67.500000,3.274153,-1.714878,2.566641,-0.435847
67.650000,3.445442,-3.771374,2.139670,0.074443
67.800000,3.285133,-4.747290,1.488977,0.581250
67.950000,3.044050,-5.091813,0.746159,1.056276
68.100000,2.691230,-5.185342,-0.027023,1.489079
68.250000,1.919922,-4.979418,-0.795116,1.842278
68.400000,0.396417,-4.064503,-1.484628,2.025457
68.550000,-1.732374,-2.198237,-1.963942,1.927726
68.700000,-3.660838,0.083816,-2.120434,1.514002
68.850000,-4.719863,1.869347,-1.962853,0.873044
69.000000,-5.008023,2.828929,-1.600696,0.136436
69.150000,-4.944380,3.249812,-1.140457,-0.612450
69.300000,-4.673498,3.488816,-0.634033,-1.337133
69.450000,-3.907722,3.641869,-0.097338,-1.989661
69.600000,-2.169839,3.491971,0.443574,-2.458786
69.750000,0.532875,2.754557,0.919653,-2.588235
69.900000,3.265323,1.547651,1.244639,-2.294543
70.050000,5.019438,0.395501,1.385920,-1.657265
70.200000,5.716187,-0.353344,1.383306,-0.841361
70.350000,5.850974,-0.765667,1.296456,0.030372
70.500000,5.719681,-1.096950,1.157201,0.901536
70.650000,5.120771,-1.561145,0.960003,1.723178
70.800000,3.535060,-2.178203,0.680153,2.386752
70.950000,0.819710,-2.697192,0.310723,2.723029
71.100000,-2.167346,-2.813814,-0.108531,2.615603
71.250000,-4.282129,-2.548378,-0.513744,2.115774
71.400000,-5.266464,-2.176958,-0.867691,1.387244
71.550000,-5.581859,-1.862702,-1.169811,0.568386
71.700000,-5.616869,-1.513752,-1.424758,-0.274311
71.850000,-5.302750,-0.855491,-1.607976,-1.099816
72.000000,-4.190691,0.362214,-1.651810,-1.824291
72.150000,-2.019100,1.999014,-1.475895,-2.300687
72.300000,0.613905,3.422602,-1.061493,-2.403597
72.450000,2.667949,4.133913,-0.484927,-2.144528
72.600000,3.752196,4.245527,0.148725,-1.651471
72.750000,4.191055,4.106171,0.776669,-1.050406
72.900000,4.381240,3.818589,1.373607,-0.405675
73.050000,4.398903,3.122292,1.901673,0.256108
73.200000,3.963413,1.595766,2.267025,0.891265
73.350000,2.765798,-0.785322,2.334058,1.405172
73.500000,1.031985,-3.230219,2.025512,1.691703
73.650000,-0.528684,-4.816291,1.407624,1.722413
73.800000,-1.486834,-5.428479,0.629226,1.563022
73.950000,-1.959731,-5.511143,-0.195176,1.300194
74.100000,-2.258169,-5.349999,-1.012728,0.983206
74.250000,-2.575015,-4.770992,-1.779549,0.621083
74.400000,-2.857093,-3.280283,-2.396979,0.211724
74.550000,-2.843511,-0.678809,-2.704156,-0.221240
74.700000,-2.374833,2.284065,-2.578882,-0.617556
74.850000,-1.665952,4.456262,-2.057613,-0.920861
75.000000,-1.058433,5.483873,-1.299089,-1.122244
75.150000,-0.658855,5.792377,-0.447595,-1.248722
75.300000,-0.324342,5.793539,0.424249,-1.322956
75.450000,0.191693,5.448357,1.273759,-1.336435
75.600000,1.068124,4.307004,2.018102,-1.246207
75.750000,2.184517,2.039815,2.506183,-1.002298
75.900000,3.084169,-0.820489,2.596544,-0.600906
76.050000,3.431313,-3.146802,2.285436,-0.105005
76.200000,3.351336,-4.405008,1.705716,0.407007
